Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Income_cat,Age,Education_Level,Marital_In_Relationship,Marital_Not_In_Relationship,Marital_Other,Children,Customer_Fidelity
58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,"(44529.0, 58482.0]",68,2,False,True,False,0,4627
38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,"(44529.0, 58482.0]",71,2,False,True,False,2,4077
26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,"(58482.0, 71819.0]",60,2,True,False,False,0,4276
26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,"(1729.999, 32011.0]",41,2,True,False,False,1,4103
94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,"(44529.0, 58482.0]",44,3,True,False,False,1,4125
16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,"(58482.0, 71819.0]",58,3,True,False,False,1,4257
34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,"(44529.0, 58482.0]",54,2,False,True,False,1,4557
32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,"(32011.0, 44529.0]",40,3,True,False,False,1,4381
19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,"(1729.999, 32011.0]",51,3,True,False,False,1,4352
68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,"(1729.999, 32011.0]",75,3,True,False,False,2,4072
11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,Desconocido,42,2,True,False,False,1,4190
59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,"(1729.999, 32011.0]",49,1,True,False,False,0,4557
82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,"(58482.0, 71819.0]",66,2,False,True,False,0,4190
53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,"(58482.0, 71819.0]",73,3,False,True,False,2,4190
